Id, Title, Isbn, Year, CallNumber, CcbcCollection, Genres, NewEdition, NonUsPublisher, Publisher, OriginallyPublishedIn, Translated, TranslatedNotes, Subject, Subject Disability Notes, Subject Heritage/Region Notes, Subject Lgbtq Notes, Subject Religion Notes, Primary Character 1, PrimaryCharacterDisabilityNotes 1, PrimaryCharacterHeritageNotes 1, PrimaryCharacterSexualityNotes 1, PrimaryCharacterTypeNotes 1, PrimaryCharacterReligionNotes 1, PrimaryCharacterHeritageByNotes 1, PrimaryCharacterGenderNotes 1, Primary Character 2, PrimaryCharacterDisabilityNotes 2, PrimaryCharacterHeritageNotes 2, PrimaryCharacterSexualityNotes 2, PrimaryCharacterTypeNotes 2, PrimaryCharacterReligionNotes 2, PrimaryCharacterHeritageByNotes 2, PrimaryCharacterGenderNotes 2, Primary Character 3, PrimaryCharacterDisabilityNotes 3, PrimaryCharacterHeritageNotes 3, PrimaryCharacterSexualityNotes 3, PrimaryCharacterTypeNotes 3, PrimaryCharacterReligionNotes 3, PrimaryCharacterHeritageByNotes 3, PrimaryCharacterGenderNotes 3, Primary Character 4, PrimaryCharacterDisabilityNotes 4, PrimaryCharacterHeritageNotes 4, PrimaryCharacterSexualityNotes 4, PrimaryCharacterTypeNotes 4, PrimaryCharacterReligionNotes 4, PrimaryCharacterHeritageByNotes 4, PrimaryCharacterGenderNotes 4, Primary Character 5, PrimaryCharacterDisabilityNotes 5, PrimaryCharacterHeritageNotes 5, PrimaryCharacterSexualityNotes 5, PrimaryCharacterTypeNotes 5, PrimaryCharacterReligionNotes 5, PrimaryCharacterHeritageByNotes 5, PrimaryCharacterGenderNotes 5, Secondary Character 1, SecondaryCharacterDisabilityNotes 1, SecondaryCharacterHeritageNotes 1, SecondaryCharacterSexualityNotes 1, SecondaryCharacterTypeNotes 1, SecondaryCharacterReligionNotes 1, SecondaryCharacterHeritageByNotes 1, SecondaryCharacterGenderNotes 1, Secondary Character 2, SecondaryCharacterDisabilityNotes 2, SecondaryCharacterHeritageNotes 2, SecondaryCharacterSexualityNotes 2, SecondaryCharacterTypeNotes 2, SecondaryCharacterReligionNotes 2, SecondaryCharacterHeritageByNotes 2, SecondaryCharacterGenderNotes 2, Secondary Character 3, SecondaryCharacterDisabilityNotes 3, SecondaryCharacterHeritageNotes 3, SecondaryCharacterSexualityNotes 3, SecondaryCharacterTypeNotes 3, SecondaryCharacterReligionNotes 3, SecondaryCharacterHeritageByNotes 3, SecondaryCharacterGenderNotes 3, Secondary Character 4, SecondaryCharacterDisabilityNotes 4, SecondaryCharacterHeritageNotes 4, SecondaryCharacterSexualityNotes 4, SecondaryCharacterTypeNotes 4, SecondaryCharacterReligionNotes 4, SecondaryCharacterHeritageByNotes 4, SecondaryCharacterGenderNotes 4, Secondary Character 5, SecondaryCharacterDisabilityNotes 5, SecondaryCharacterHeritageNotes 5, SecondaryCharacterSexualityNotes 5, SecondaryCharacterTypeNotes 5, SecondaryCharacterReligionNotes 5, SecondaryCharacterHeritageByNotes 5, SecondaryCharacterGenderNotes 5, Contributors, ContributorTypes, Contributor Identity, ContributorDisabilityNotes, ContributorLgbtqNotes, ContributorSpecificCulture, GenderMarkerNotes, Gender Markers
"7694","Pete the Cat Saves Christmas","9780062945167","2019","Dean","Picture Book","Animal Fantasy","No","No","Harper","","No","","Christian","","","","Christmas book","Animal, Male, Text","","","","Cat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Animal, Male, Text","","","","Cat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","James Dean, Eric Litwin","Author, Illustrator","Male, White (James Dean), Male, White (Eric Litwin)","","","","",""
"7695","Sammy Claws","9780062959119","2019","Rowland","Picture Book","Animal Fantasy","No","No","Harper","","No","","Christian","","","","Christmas book","Animal, Male, Text","","","","Cat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Assumed White, Human, Illustrations, Male, Text","","","","Santa Claus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lucy Rowland, Paula Bowles","Author, Illustrator","Female, White (Lucy Rowland), Female, White (Paula Bowles)","","","","",""
"7701","Ho Ho Homework","9780062796882","2019","Larsen","Picture Book","Fantasy","No","No","Harper / HarperCollins","","No","","Black/African, Brown Skin Unspecified, Christian, Latinx","","Brown skin (primary); African American (secondary); Latinx (secondary)","","Christmas book","Brown Skin, Christian, Human, Illustrations, Male, Text","","Jack has light brown skin and straight black hair.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Assumed White, Black/African, Christian, Female, Human, Illustrations, Latinx, Male, Other Heritage Specification, Text","","Mr. Clausen is white. Leo appears to be African American. Rosa may be Latinx.","","Three","","Rosa has brown skin and her name suggests possible Latinx heritage.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Taia Morley, Mylisa Larsen","Author, Illustrator","Female, White (Taia Morley), Female, White (Mylisa Larsen)","","","","",""
"7714","10 Blind Dates","9781368027496","2019","Elston","Fiction","Contemporary","No","No","Disney / Hyperion","","No","","Christian","","","","The characters are celebrating Christmas.","Assumed White, Christian, Female, Human, Other Heritage Specification, Text","","Italian American","","","She celebrates Christmas.","Kirkus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Assumed White, Christian, Female, Group, Human, Male, Other Heritage Specification, Text","","","","Sophie's large extended family, and ten boys with whom she goes on dates.","Sophie's family members are celebrating Christmas.","Kirkus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Ashley Elston","Author","Female, White (Ashley Elston)","","","","",""
"7774","Zenobia July","9780451479402","2019","Bunker","Fiction","Contemporary","No","No","Penguin Random House / Viking","","No","","Christian, LGBTQ Character/Topic, LGBTQ Family","","","Transgender girl (primary); nonbinary (secondary); lesbian aunts/legal guardians (secondary)","","Assumed White, Christian, Female, Human, LGBTQ+, Text, Text, Transgender","","","Zen is transgender. Sexuality is unspecified.","","Zen prays to ""God."" She was raised in a Christian household.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Assumed White, Female, Human, LGBTQ+, Other Gender, Text, Text, Transgender","","","Aunt Phil and Aunt Lucy are lesbians. Arli is nonbinary.","","","","Arli is nonbinary. Aunt Phil and Aunt Lucy are cisgender women.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lisa Bunker","Author","Female, LGBTQ, Transgender, White (Lisa Bunker)","","","","",""
"7780","Sharing Christmas","9789888341917","2019","Westerlund","Picture Book","Animal Fantasy","No","Yes","Minedition","","No","","Christian","","","","Christmas book","Animal, Female, Text","","","","Deer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Animal, Female, Male, Not specified, Text, Unknown","","","","Various species","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Eve Tharlet, Kate Westerlund","Author, Illustrator","Female, White (Eve Tharlet), Female, White (Kate Westerlund)","","","","",""
"7808","No Surrender: A Father, a Son, and an Extraordinary Act of Heroism","9780062966179","2019","940 Edmonds","Non-Fiction","Biography/History","No","No","Harper","","No","","Christian, Jewish","","","","Christian (primary); Jewish (secondary)","Assumed White, Christian, Human, Illustrations, Male, Text, Text","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Assumed White, Human, Male, Text, Text","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Chris Edmonds","Author","Male, White (Chris Edmonds)","","","","",""
"7813","Portrait of an Arist: Vincent Van Gogh","9781786036469","2019","759 carron","Non-Fiction","Biography/History","No","No","Quarto / Wide Eyed Editions","","No","","Christian, Physical","Bipolar disorder (primary)","","","Christian (primary)","Christian, Confirmed White, Human, Male, Physical, Text, Text","Bipolar disorder","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Confirmed White, Human, Male, Text, Text","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lucy Brownridge, Edith Carron","Author, Illustrator","Female, White (Lucy Brownridge), Female, White (Edith Carron)","","","","",""
"7872","Deposing Nathan","9781624147357","2019","Smedley","Fiction","Contemporary","No","No","Page Street","","No","","Christian, LGBTQ Character/Topic","","","Bisexual male (primary and secondary)","Catholic (primary and secondary)","Assumed White, Christian, Human, LGBTQ+, Male, Text, Text","","","Bisexual","","Catholic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Assumed White, Christian, Female, Human, LGBTQ+, Male, Text, Text","","Cam and Aunt Lori are white. ","Cam is bisexual.","","Cam is Catholic.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Zack Smedley","Author","LGBTQ, Male, White (Zack Smedley)","","Bisexual","","",""
"7889","Girls Like Us","9781250155856","2019","Pink","Fiction","Historical","No","No","Feiwel and Friends / Macmillan","","No","","Black/African, Christian","","African American (3 of 4 primary)","","Christian (secondary)","Black/African, Confirmed White, Female, Group, Human, Other Heritage Specification, Text","","Ola, Izella, and Missippi are African American. Sue is white.","","Four","","Kirkus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Black/African, Christian, Female, Human, Other Heritage Specification, Text","","Evangelist is African American.","","","","Kirkus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Randi Pink","Author","Black/African, Female (Randi Pink)","","","African American","",""
"7921","The Language of Fire","9780062490117","2019","Hemphill","Fiction","Historical","No","No","Balzer + Bray / HarperCollins","","No","","Christian","","","","Catholic (primary)","Christian, Confirmed White, Female, Human, Text, Text","","","","","Catholic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Confirmed White, Human, Male, Text, Text","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Stephanie Hemphill","Author","Female, White (Stephanie Hemphill)","","","","",""
"7981","Christmas Cheer for the Grouchy Ladybug","9780062932266","2019","Carle","Picture Book","Animal Fantasy","No","No","Harper","","No","","Christian","","","","Christmas book","Animal, Not specified, Unknown","","","","Ladybug","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Eric Carle, Eric Carle","Author, Illustrator","Male, White (Eric Carle), Male, White (Eric Carle)","","","","",""
"7992","Santa Mouse","9781534437937","2019","Brown","Picture Book","Animal Fantasy","Yes","No","Little Simon / Simon & Schuster","1966","No","","Christian","","","","Christmas book","Animal, Male, Text","","","","Mouse","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Assumed White, Human, Illustrations, Male, Text","","","","Santa Claus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Michael Brown, Elfrieda De Witt","Author, Illustrator","Male, White (Michael Brown), Female, White (Elfrieda De Witt)","","","","",""
"7995","The 12 Days of Christmas","9781368003001","2019","Pizzoli","Picture Book","Animal Fantasy, Board Book","Yes","No","Disney / Hyperion","2017","No","","Christian","","","","Christmas book","Animal, Not specified, Unknown","","","","Elephants","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Greg Pizzoli, Greg Pizzoli","Author, Illustrator","Male, White (Greg Pizzoli), Male, White (Greg Pizzoli)","","","","",""
"8013","Merry Christmas, Little Elliot","9781250209849","2019","Curato","Picture Book","Animal Fantasy, Board Book","Yes","No","Godwin Books / Henry Holt","","No","","Christian","","","","Christmas book","Animal, Male, Text","","","","Elephant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Animal, Asian, Christian, Female, Human, Illustrations, Unknown","","","","Mouse","She is celebrating Christmas.","Asian American","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mike Curato, Mike Curato","Author, Illustrator","Asian, LGBTQ, Male (Mike Curato), Asian, LGBTQ, Male (Mike Curato)","","","Filipino American","",""
"8024","If Animals Celebrated Christmas","9780374313081","2019","Paul","Picture Book","Animal Fantasy, Board Book","Yes","No","Farrar Straus Giroux / Macmillan","","No","","Christian","","","","Christmas book","Animal, Christian, Female, Male, Not specified, Text, Unknown","","","","Various species","Celebrating Christmas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","David Walker, Ann Whitford Paul","Author, Illustrator","Male, White (David Walker), Female, White (Ann Whitford Paul)","","","","",""
"8066","Joan of Arc","9781250168924","2019","SNF","Non-Fiction","Biography/History, Series Non-fiction","No","No","Roaring Brook","","Yes","Translated from the French. Originally published in France.","Christian","","","","Catholic (primary)","Christian, Confirmed White, Female, Human, Text, Text","","","","","Catholic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Albin Queru, Bruno Wennagel, Mathieu Ferret, Catherine Nolan","Author, Illustrator, Translator","Male, White (Albin Queru), Male, White (Bruno Wennagel), Heritage Unknown, Male (Mathieu Ferret), Female, Heritage Unknown (Catherine Nolan)","","","","",""
"8107","Christmas is Awesome!","9781419734274","2019","Moyle","Picture Book","Animal Fantasy, Board Book","No","No","Abrams / Abrams Appleseed","","No","","Christian","","","","Christmas book","Not specified, Other Type, Unknown","","","","Piece of coal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sabrina Moyle, Eunice Moyle","Author, Illustrator","Asian, Female (Sabrina Moyle), Asian, Female (Eunice Moyle)","","","Chinese","",""
"8234","Kate's Ring","9780889955677","2019","Grassby","Fiction","Historical","No","Yes","Red Deer","","No","","Christian","","","","Catholic","Assumed White, Christian, Female, Human, Other Heritage Specification, Text","","","","","Catholic","Kirkus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Assumed White, Christian, Female, Human, Male, Other Heritage Specification, Text","","","","","Catholic","Kirkus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Donna Grassby","Author","Female, White (Donna Grassby)","","","","",""
"8237","Each Tiny Spark","9780451479723","2019","Cartaya","Fiction","Contemporary","No","No","Kokila / Penguin Random House","","No","","Black/African, Christian, Cognitive/Neurological, Latinx, Other Religion, Physical","ADHD (primary); PTSD (secondary)","Multiracial Cuban American/Yoruba/white (primary)","","Catholic (secondary); Yoruba (secondary)","Assumed White, Black/African, Cognitive/Neurological, Female, Human, Latinx, Multiracial, Text, Text","Emilia has ADHD.","Emilia is mulitiracial American (Cuban/Yoruba/white).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Assumed White, Black/African, Christian, Female, Human, Latinx, Male, Multiracial, Other Religion, Physical, Text, Text","Emilia's father has PTSD.","Emilia's parents and abuela are Cuban American. Her mother has Yoruba heritage. Abuela may have white European heritage. Gus is Latinx.","","","Abuela is Catholic. Emilia's mother celebrates Yoruba Santeria.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pablo Cartaya","Author","Latinx, Male (Pablo Cartaya)","","","Cuban American","",""
"8317","The Brave Cyclist: The True Story of a Holocaust Hero","9781684460632","2019","796 Hoffman","Non-Fiction","Biography/History","No","No","Capstone Edition","","No","","Christian, Jewish","","","","The subject of the book delivered fake ID cards to Jews for protection from Nazis. He worked with a Catholic Cardinal.","Confirmed White, Human, Male, Text, Text","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Assumed White, Christian, Human, Illustrations, Male, Text","","","","","Catholic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Chiara Fedele, Amalia Hoffman","Author, Illustrator","Female, White (Chiara Fedele), Female, White (Amalia Hoffman)","","","","",""
"8329","Snow for Everyone!","9780735843202","2019","Schneider","Picture Book","Contemporary","No","No","NorthSouth","","Yes","Translated from the German. Originally published in Switzerland.","Arab, Asian, Christian, Jewish, Middle East, Muslim","","Set in Israel. One of the characters may be Arab.","","3 primary","Arab, Asian, Christian, Female, Group, Human, Illustrations, Jewish, Male, Middle East, Muslim, Text, Text","","Samir, Rafi, and Mira are Israeli. Mira and Rafi have light skin and blond hair. Samir has brown skin and black hair. He may be Arab.","","Three","Rafi is Christian. Mira is Jewish. Samir is Muslim.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Asian, Christian, Human, Illustrations, Illustrations, Jewish, Male, Middle East, Muslim, Text","","All three are Israeli. The priest has brown skin. The imam and rabbi have pale skin.","","Three","The priest is Christian. The rabbi is Jewish. The imam is Muslim.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Antonie Schneider, Pei-Yu Chang, David Henry Wilson","Author, Illustrator, Translator","Female, White (Antonie Schneider), Asian, Female (Pei-Yu Chang), Male, White (David Henry Wilson)","","","Taiwanese","",""
"8431","Between Us and Abuela","9780374303730","2019","Perkins","Picture Book","Contemporary","No","No","Farrar Straus Giroux / Macmillan","","No","","Christian, Latinx","","Mexican American (primary); Mexican (secondary)","","Christian (primary)","Christian, Female, Human, Illustrations, Latinx, Text","","Mexican American","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Christian, Female, Human, Latinx, Male, Text, Text","","Maria's mother and brother are Mexican American. Her abuela is Mexican.","","Three","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sara Palacios, Mitali Perkins","Author, Illustrator","Female, Latinx (Sara Palacios), Asian, Female (Mitali Perkins)","","","Indian (Bengali) American","",""
"8437","Queen of the Sea","9781536204988","2019","741.5 Meconis","Non-Fiction","Graphic Novel, Historical","No","No","Candlewick / Walker","","No","","Christian","","","","Catholic (primary and secondary)","Christian, Confirmed White, Female, Human, Illustrations, Text, Text","","","","","Catholic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Confirmed White, Female, Human, Illustrations, Male, Text, Text","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Dylan Meconis, Dylan Meconis","Author, Illustrator","Female, LGBTQ, White (Dylan Meconis), Female, LGBTQ, White (Dylan Meconis)","","","","",""
"8456","Paul Writes (A Letter)","9780802854940","2018","227 Raschka","Non-Fiction","Biography/History","No","No","Eerdmans","","No","","Christian, Jewish, Middle East","","Paul the Apostle was from what is now Syria.","","Paul identified as Jewish. He is today considered a Christian figure.","Human, Jewish, Male, Middle East, Other Heritage Specification, Text","","Paul was from what is now Syria.","","","","Britannica","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Chris Raschka, Chris Raschka","Author, Illustrator","Male, White (Chris Raschka), Male, White (Chris Raschka)","","","","",""
"8461","Merry Christmas, Little Elliot","9781250185891","2018","Curato","Picture Book","Animal Fantasy","No","No","Godwin Books / Henry Holt","","No","","Christian","","","","Christmas book","Animal, Christian, Male, Text","","","","Elephant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Animal, Asian, Christian, Female, Human, Illustrations, Text, Unknown","","","","Mouse; human","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mike Curato, Mike Curato","Author, Illustrator","Asian, LGBTQ, Male (Mike Curato), Asian, LGBTQ, Male (Mike Curato)","","","Filipino American","",""
"8491","Let's Celebrate! Special Days Around the World","9781782858331","2019","390 DePalma","Non-Fiction","","No","No","Barefoot","","No","","Christian, Jewish, Multicultural General, Muslim, Other Religion","","About holidays around the world","","Hindu","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Kate DePalma, Martina Peluso","Author, Illustrator","Female, White (Kate DePalma), Female, White (Martina Peluso)","","","","",""
"8588","No More Bedtime!","9780553535617","2019","Richards","Picture Book","Science Fiction","No","No","Crown / Penguin Random House","","No","","Christian","","","","Christian (primary)","Assumed White, Christian, Human, Illustrations, Male, Text","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Chuck Richards, Chuck Richards","Author, Illustrator","Male, White (Chuck Richards), Male, White (Chuck Richards)","","","","",""
"8590","The Golden Rule","9781419740695","2019","Cooper","Picture Book","Contemporary","Yes","No","Abrams","2007","No","","Christian, Jewish, Muslim, Other Religion","","","","About the Golden Rule in various religious traditions: Christianity, Judaism, Islam, Hinduism, Buddhism, and Shawnee tradition.","Assumed White, Human, Illustrations, Male, Text","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Assumed White, Human, Illustrations, Male, Text","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Ilene Cooper, Gabi Swiatkowska","Author, Illustrator","Female, White (Ilene Cooper), Female, White (Gabi Swiatkowska)","","","","",""
"8667","The Legend of the Fairy Stones","9781642791969","2019","White","Picture Book","","No","No","Morgan James","","No","","Christian","","","","A Christian legend","Female, Illustrations, Male, Other Type","","","","Fairies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Kelly Anne White","Author","Female, White (Kelly Anne White)","","","","",""
"8735","Martin & Anne: The Kindred Spirits of Dr. Martin Luther King, Jr. and Anne Frank","9781939547538","2019","323 Churnin","Non-Fiction","Biography/History","No","No","Creston","","No","","Black/African, Christian, Jewish","","African American (1 of 2 primary)","","Christian (1 of 2 primary); Jewish (1 of 2 primary)","Black/African, Christian, Confirmed White, Female, Human, Jewish, Male, Text, Text","","Dr. King was African American. Anne Frank was white.","","Two","Dr. King was Christian. Anne Frank was Jewish.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nancy Churnin, Yevgenia Nayberg","Author, Illustrator","Female, White (Nancy Churnin), Female, White (Yevgenia Nayberg)","","","","",""
"8754","The Magic Christmas Ornament","9780999869208","2019","Barbato","Picture Book","Contemporary","No","No","Pure Imagination","","No","","Christian","","","","","Assumed White, Christian, Female, Group, Human, Illustrations, Male, Text","","","","Three","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","James Barbato, Joe Huffman, Victoria Barbato","Author, Illustrator","Male, White (James Barbato), Male, White (Joe Huffman), Female, White (Victoria Barbato)","","","","",""
"8783","Awesome Possum Powers: Altruism","9781643492728","2019","Beers","Picture Book","Animal Fantasy","No","No","Christian Faith","","No","","Christian","","","","There is a cross on the opossum's dresser.","Animal, Christian, Male, Text","","","","Opossum","There is a cross on his dresser.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Animal, Female, Male, Text","","","","Opossum; armadillo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Shannon Beers, Schuyler Beers","Author, Illustrator","Female, Heritage Unknown (Shannon Beers), Heritage Unknown, Unknown (Schuyler Beers)","","","","",""
"9094","Normal","9781328631831","2020","Newman","Fiction","","No","No","Houghton Mifflin Harcourt","","No","","Christian, Jewish, Physical","Treacher Collins syndrome (primary)","","","Jewish (1 primary); Catholic (1 primary)","Assumed White, Christian, Female, Human, Jewish, Male, Physical, Text, Text","Nathaniel has Treacher Collins syndrome.","","","Two","Magda is Catholic. Nathaniel is Jewish.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Neil Swaab, Magdalena Newman, Nathaniel Newman, Hilary Liftin","Author, Illustrator","Male, White (Neil Swaab), Female, White (Magdalena Newman), Male, Physical, White (Nathaniel Newman), Female, White (Hilary Liftin)","Treacher Collins Syndrome","","","",""
"9095","How to Build a Heart","9781616208493","2020","Padian","Fiction","Contemporary","No","No","Algonquin","","No","","Christian, Latinx","","Puerto Rican American (primary)","","Catholic (primary)","Christian, Female, Human, Latinx, Text, Text","","Puerto Rican American","","","Catholic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Female, Human, Latinx, Male, Other Heritage Specification","","Izzy's mother--Puerto Rican American. Aubrey and Sam--unknown.","","","","Kirkus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Maria Padian","Author","Female, White (Maria Padian)","","","","",""
"9096","Not So Pure and Simple","9780062349194","2020","Giles","Fiction","Contemporary","No","No","HarperCollins / HarperTeen","","No","","Black/African, Christian","","African American (primary and secondary)","","Most characters are Christian. Much of the story revolves around a church program.","Black/African, Christian, Human, Male, Text, Text","","African American","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Black/African, Christian, Female, Human, LGBTQ+, Male, Text, Text","","African American","One character is gay.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lamar Giles","Author","Black/African, Male (Lamar Giles)","","","African American","",""
"9201","Santa Is Coming to Wisconsin","9781728201146","2019","Smallman","Picture Book","Fantasy","No","No","Sourcebooks / Sourcebooks Jabberwocky","","No","","Christian","","","","Christmas book","Assumed White, Human, Illustrations, Male, Text","","","","Santa Claus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Steve Smallman, Robert Dunn, Katherine Kirkland","Author, Illustrator","Male, White (Steve Smallman), Male, White (Robert Dunn), Female, White (Katherine Kirkland)","","","","",""
"9231","Santa Claus Vs. the Easter Bunny","9781492691648","2019","Blunt","Picture Book","Fantasy","No","No","Sourcebooks / Sourcebooks Jabberwocky","","No","","Christian","","","","About two Christian holidays","Assumed White, Human, Illustrations, Male, Other Type, Text","","","","Easter Bunny; Santa Claus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Fred Blunt, Fred Blunt","Author, Illustrator","Male, White (Fred Blunt), Male, White (Fred Blunt)","","","","",""
"9232","Dear Santa","9781492694748","2019","Hill","Picture Book","Fantasy","No","No","Sourcebooks / Sourcebooks Wonderland","","No","","Black/African, Christian","","Biracial (African American/white) (primary)","","Christmas book","Assumed White, Black/African, Christian, Human, Illustrations, Male, Multiracial, Text","","Parker appears to be African American. He may be biracial: his mother is Black, and his father is white.","","","Parker and his family celebrate Christmas.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Susanna Leonard Hill, John Joseph","Author, Illustrator","Female, White (Susanna Leonard Hill), Male, White (John Joseph)","","","","",""
"9260","We Are Lost and Found","9781492681045","2019","Dunbar","Fiction","Historical","No","No","Sourcebooks Fire","","No","","Christian, LGBTQ Character/Topic","","","Gay (primary and secondary); set in the wake of the AIDS crisis","The primary character is raised in a Catholic family.","Assumed White, Human, LGBTQ+, Male, Other Heritage Specification, Text","","","Gay","","","Kirkus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Assumed White, Female, Human, LGBTQ+, Male, Other Heritage Specification, Text","","Connor is assumed white. James, Becky, and Gabriel are unknown.","Connor and Gabriel are gay.","Four: James, Becky, Connor, Gabriel","","Kirkus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Helene Dunbar","Author","Female, White (Helene Dunbar)","","","","",""
